/Users/radenyudi/.gemini/antigravity/scratch/quant_trade_ai/ai_environment.py:32: FutureWarning: DataFrame.fillna with 'method' is deprecated and will raise in a future version. Use obj.ffill() or obj.bfill() instead.
  self.df.fillna(method='bfill', inplace=True)
🚀 Starting AI Training (Reinforcement Learning)...
Episode: 103/200 | Reward: -37.70 | Net Worth: 99.84 | Epsilon: 0.05
Episode: 104/200 | Reward: -5.08 | Net Worth: 99.55 | Epsilon: 0.05
Episode: 105/200 | Reward: 46.41 | Net Worth: 100.13 | Epsilon: 0.05
Episode: 106/200 | Reward: -111.77 | Net Worth: 99.12 | Epsilon: 0.05
Episode: 107/200 | Reward: -104.89 | Net Worth: 99.16 | Epsilon: 0.05
Episode: 108/200 | Reward: 34.56 | Net Worth: 100.00 | Epsilon: 0.05
Episode: 109/200 | Reward: -188.39 | Net Worth: 98.78 | Epsilon: 0.05
Episode: 110/200 | Reward: 12.42 | Net Worth: 99.83 | Epsilon: 0.05
Episode: 111/200 | Reward: -88.55 | Net Worth: 99.59 | Epsilon: 0.05
Episode: 112/200 | Reward: 21.54 | Net Worth: 99.92 | Epsilon: 0.05
Episode: 113/200 | Reward: 32.52 | Net Worth: 100.07 | Epsilon: 0.05
Episode: 114/200 | Reward: 67.22 | Net Worth: 100.47 | Epsilon: 0.05
Episode: 115/200 | Reward: -2.03 | Net Worth: 99.81 | Epsilon: 0.05
Episode: 116/200 | Reward: -36.64 | Net Worth: 99.83 | Epsilon: 0.05
Episode: 117/200 | Reward: -49.17 | Net Worth: 99.61 | Epsilon: 0.05
Episode: 118/200 | Reward: 66.23 | Net Worth: 100.39 | Epsilon: 0.05
Episode: 119/200 | Reward: 167.45 | Net Worth: 100.50 | Epsilon: 0.05
Episode: 120/200 | Reward: 11.03 | Net Worth: 100.15 | Epsilon: 0.05
Episode: 121/200 | Reward: -11.53 | Net Worth: 100.06 | Epsilon: 0.05
Episode: 122/200 | Reward: -162.67 | Net Worth: 98.96 | Epsilon: 0.05
Episode: 123/200 | Reward: -16.80 | Net Worth: 99.39 | Epsilon: 0.05
Episode: 124/200 | Reward: -5.99 | Net Worth: 99.76 | Epsilon: 0.05
Episode: 125/200 | Reward: -85.38 | Net Worth: 99.41 | Epsilon: 0.05
Episode: 126/200 | Reward: -26.69 | Net Worth: 99.83 | Epsilon: 0.05
Episode: 127/200 | Reward: 0.87 | Net Worth: 100.20 | Epsilon: 0.05
Episode: 128/200 | Reward: 37.35 | Net Worth: 99.77 | Epsilon: 0.05
